,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Volume_shock,Price_shock,priceshock_wihout_volshock,Holiday
2015-01-01,1968.95,1982.0,1956.9,1971.0,1974.4,1971.34,500691.0,98703055635000.0,14908.0,258080.0,0.5154,0.0,0.0,0.0,0
2015-01-02,1972.0,2019.05,1972.0,2017.95,2013.2,2003.25,1694580.0,339466852425000.0,54166.0,1249104.0,0.7371,1.0,0.0,0.0,0
2015-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015-01-05,2009.9,2030.0,1977.5,1996.0,1995.9,2004.59,2484256.0,497991093805000.0,82694.0,1830962.0,0.737,1.0,0.0,0.0,0
2015-01-06,1980.0,1985.0,1934.1,1965.1,1954.2,1954.82,2416829.0,472445845370000.0,108209.0,1772070.0,0.7332,0.0,1.0,1.0,0
2015-01-07,1965.0,1974.75,1950.0,1966.05,1963.55,1962.59,1812479.0,355716183735000.0,62463.0,1317720.0,0.7270000000000001,1.0,0.0,0.0,0
2015-01-08,1985.6,1997.0,1950.0,1979.25,1973.45,1972.78,3391230.0,669016029085000.0,92752.0,2686012.0,0.792,1.0,0.0,0.0,0
2015-01-09,1980.1,2109.0,1913.05,2075.3,2074.45,2037.69,11215832.0,2285438887015000.0,359214.0,3369489.0,0.3004,1.0,1.0,0.0,0
2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015-01-12,2092.0,2119.2,2075.0,2112.95,2115.95,2099.4,3189722.0,669651595110000.0,107209.0,1818800.0,0.5702,1.0,0.0,0.0,0
2015-01-13,2107.8,2107.8,2075.0,2092.0,2088.9,2089.42,2200309.0,459737380695000.0,66676.0,1385009.0,0.6295000000000001,1.0,0.0,0.0,0
2015-01-14,2098.5,2133.0,2092.6,2129.0,2128.65,2110.88,2480315.0,523563759320000.0,53263.0,1832958.0,0.7390000000000001,1.0,0.0,0.0,0
2015-01-15,2135.2,2152.8,2112.25,2130.0,2134.25,2137.46,2085613.0,445791097145000.0,48882.0,1410992.0,0.6765000000000001,1.0,0.0,0.0,0
2015-01-16,2148.0,2160.0,2112.0,2115.0,2118.3,2125.77,1672740.0,355585824780000.0,63848.0,1254004.0,0.7497,1.0,0.0,0.0,0
2015-01-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2015-01-19,2120.0,2132.35,2094.6,2105.0,2102.5,2104.55,1021936.0,215071282119999.97,62963.0,673948.0,0.6595000000000001,1.0,0.0,0.0,0
2015-01-20,2107.0,2133.0,2101.45,2119.2,2124.2,2118.16,1701126.0,360325836150000.0,66871.0,1284137.0,0.7549,1.0,0.0,0.0,0
2015-01-21,2131.5,2175.95,2118.0,2172.0,2169.9,2148.41,2123727.0,456262771464999.94,82679.0,1394125.0,0.6565000000000001,1.0,1.0,0.0,0
2015-01-22,2174.8,2203.0,2161.3,2194.95,2196.45,2193.1,2489599.0,545995131760000.06,82961.0,1879561.0,0.755,1.0,0.0,0.0,0
